snapshot_date,provider,model_count,endpoint_count,avg_cost_per_1m_tokens,min_cost_per_1m_tokens,max_cost_per_1m_tokens
2026-06-17,Nebius,12,12,0.6316666666666667,0.15,2.0
2026-06-17,DeepInfra,64,68,0.6617205882352941,0.024999999999999998,2.9000000000000004
2026-06-17,Weights & Biases / CoreWeave,20,20,0.741,0.075,2.61
2026-06-17,NovitaAI,70,70,0.9227071428571428,0.02,2.9000000000000004
2026-06-17,DigitalOcean,11,11,0.9732727272727272,0.16799999999999998,2.088
2026-06-17,Together,23,24,1.0464583333333333,0.075,2.9000000000000004
